Sleep,,,,,,,,
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2019-10-28 10:59PM,2019-10-29 7:10AM,433,58,31,491,100,260,73
2019-10-27 9:40PM,2019-10-28 5:58AM,446,52,28,498,78,247,121
2019-10-26 9:39PM,2019-10-27 7:37AM,509,89,45,598,81,346,82
2019-10-25 9:31PM,2019-10-26 7:39AM,532,75,38,607,100,333,99
2019-10-24 9:46PM,2019-10-25 6:41AM,468,67,37,535,69,316,83
2019-10-23 8:51PM,2019-10-24 6:50AM,538,61,36,599,121,316,101
2019-10-22 9:20PM,2019-10-23 5:58AM,457,60,27,517,94,246,117
2019-10-21 9:37PM,2019-10-22 7:01AM,495,69,32,564,96,326,73
2019-10-20 10:34PM,2019-10-21 5:58AM,392,51,35,443,72,209,111
2019-10-19 10:55PM,2019-10-20 8:39AM,505,78,35,583,89,322,94
2019-10-18 10:29PM,2019-10-19 7:53AM,485,79,33,564,108,264,113
2019-10-17 10:19PM,2019-10-18 8:01AM,496,85,47,581,104,318,74
2019-10-16 10:27PM,2019-10-17 6:09AM,403,59,35,462,72,206,125
2019-10-11 11:05PM,2019-10-12 8:00AM,452,82,32,534,124,221,107
2019-10-10 11:06PM,2019-10-11 7:59AM,457,76,37,533,96,253,108
2019-10-09 10:42PM,2019-10-10 5:56AM,375,59,27,434,81,213,81
2019-10-09 1:12AM,2019-10-09 8:03AM,355,56,27,411,64,214,77
2019-10-07 10:13PM,2019-10-08 6:12AM,409,70,32,479,82,272,55
2019-10-06 10:32PM,2019-10-07 5:56AM,382,62,24,444,99,186,97
2019-10-05 9:37PM,2019-10-06 7:14AM,438,79,32,517,82,231,125
2019-10-04 8:48PM,2019-10-05 6:32AM,500,83,46,583,115,261,124
2019-10-04 9:21AM,2019-10-04 10:48AM,80,5,0,86,N/A,N/A,N/A
2019-10-03 10:06PM,2019-10-04 5:59AM,405,68,36,473,95,219,91
2019-10-03 1:56PM,2019-10-03 3:20PM,74,4,0,84,N/A,N/A,N/A
2019-10-02 8:29PM,2019-10-03 5:58AM,505,64,36,569,114,273,118
2019-10-01 9:28PM,2019-10-02 5:58AM,454,56,39,510,88,264,102
2019-09-30 10:08PM,2019-10-01 5:58AM,406,64,34,470,100,231,75
2019-09-29 9:32PM,2019-09-30 5:58AM,444,62,36,506,94,256,94
2019-09-28 8:54PM,2019-09-29 6:07AM,475,77,33,552,82,293,100
2019-09-27 10:18PM,2019-09-28 7:55AM,505,72,30,577,70,363,72
2019-09-26 10:08PM,2019-09-27 7:03AM,479,56,36,535,113,259,107
2019-09-25 9:28PM,2019-09-26 7:04AM,518,57,37,575,128,267,123
2019-09-24 9:57PM,2019-09-25 6:23AM,444,61,31,505,59,291,94
2019-09-23 10:21PM,2019-09-24 6:09AM,391,76,29,467,58,233,100
2019-09-22 9:05PM,2019-09-23 5:54AM,476,53,35,529,102,266,108
2019-09-20 9:39PM,2019-09-21 7:00AM,482,78,33,560,53,343,86
2019-09-18 7:30PM,2019-09-19 6:04AM,549,85,25,634,115,329,105
2019-09-17 9:07PM,2019-09-18 6:50AM,487,96,38,583,72,308,107
2019-09-16 10:08PM,2019-09-17 6:07AM,410,68,26,478,112,189,109
2019-09-15 9:20PM,2019-09-16 5:59AM,454,65,28,519,81,270,103
2019-09-14 11:00PM,2019-09-15 9:11AM,540,71,34,611,150,304,86
2019-09-13 10:16PM,2019-09-14 6:55AM,418,101,22,519,99,205,114
2019-09-12 10:07PM,2019-09-13 6:37AM,407,103,28,510,87,221,99
2019-09-11 10:56PM,2019-09-12 7:23AM,422,85,30,507,69,290,63
2019-09-10 10:41PM,2019-09-11 6:57AM,437,59,37,496,80,289,68
2019-09-09 10:31PM,2019-09-10 10:38AM,620,107,41,727,109,389,122
2019-09-08 9:45PM,2019-09-09 6:23AM,449,69,35,518,112,236,101
2019-09-07 9:37PM,2019-09-08 8:12AM,529,106,43,635,90,347,92
2019-09-06 10:13PM,2019-09-07 8:34AM,548,73,38,621,99,386,63
2019-09-05 9:01PM,2019-09-06 6:59AM,486,112,35,598,80,315,91
