timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
2019-09-19T06:04:30Z,84,21,19,44,104,56,0.124203822
2019-09-18T06:50:30Z,82,18,21,43,106,58,0.088260497
2019-09-17T06:07:00Z,80,23,21,36,109,58,0.088050314
2019-09-16T05:59:00Z,82,19,22,41,103,58,0.085043988
2019-09-15T09:11:00Z,88,22,20,46,85,56,0.065755764
2019-09-14T06:55:30Z,72,22,18,32,114,57,0.116959064
2019-09-13T06:37:00Z,71,20,20,31,99,57,0.110778443
2019-09-12T07:23:00Z,78,17,22,39,63,57,0.081510934
2019-09-11T06:57:00Z,82,18,23,41,68,58,0.072948328
2019-09-10T10:38:30Z,85,20,22,43,121,59,0.084840056
2019-09-09T06:23:30Z,84,22,21,41,100,60,0.095191364
2019-09-08T08:12:30Z,80,18,19,43,92,61,0.128286853
2019-09-07T08:34:30Z,80,18,18,44,63,61,0.092518101
2019-09-06T06:59:30Z,80,17,21,42,91,61,0.10192147
2019-09-05T06:47:00Z,79,19,19,41,68,60,0.080919081
2019-09-04T07:33:30Z,78,18,20,40,48,59,0.11011011
2019-09-03T06:29:00Z,83,22,19,42,106,58,0.080305927
2019-09-02T06:11:30Z,67,17,20,30,101,58,0.116817724
2019-09-01T07:40:00Z,82,19,19,44,124,57,0.09762533
2019-08-31T07:49:00Z,86,19,22,45,112,57,0.063643596
2019-08-30T07:25:30Z,71,17,20,34,75,57,0.094438615
2019-08-29T06:26:00Z,91,23,22,46,111,56,0.076995305
2019-08-28T06:45:30Z,82,20,21,41,89,56,0.066471163
2019-08-27T06:14:30Z,75,17,22,36,85,56,0.069124424
2019-08-26T06:45:30Z,80,17,22,41,82,57,0.072866731
2019-08-24T09:36:30Z,87,21,21,45,107,57,0.064352856
2019-08-23T07:15:30Z,85,23,22,40,118,58,0.086086086
2019-08-22T06:25:00Z,88,20,23,45,133,58,0.067204301
2019-08-21T06:17:30Z,87,21,20,46,105,56,0.075386013
2019-08-20T06:32:30Z,76,18,23,35,94,56,0.083333333
2019-08-19T06:21:30Z,80,19,20,41,71,57,0.099902057
2019-08-18T08:52:30Z,85,22,21,42,131,58,0.085881588
2019-08-17T08:07:00Z,75,18,23,34,103,58,0.067121729
2019-08-16T06:59:30Z,84,19,23,42,102,57,0.063189569
2019-08-14T08:03:30Z,88,21,22,45,114,59,0.072267389
2019-08-13T09:06:30Z,91,25,22,44,149,59,0.081934184
2019-08-12T05:30:00Z,63,17,21,25,68,59,0.115730337
2019-08-11T07:52:30Z,86,20,22,44,73,61,0.094920899
2019-08-08T06:59:30Z,85,21,20,44,112,62,0.092966855
2019-08-07T06:41:30Z,87,23,20,44,116,61,0.093724531
2019-08-06T06:30:30Z,79,18,20,41,84,61,0.084645669
2019-08-05T06:22:00Z,81,23,18,40,107,60,0.08488806
2019-08-03T08:29:30Z,80,23,19,38,127,61,0.102383054
2019-08-02T06:29:30Z,82,19,22,41,106,60,0.059424327
2019-08-01T06:15:00Z,87,23,22,42,118,60,0.072016461
2019-07-31T07:36:00Z,91,22,22,47,93,60,0.048639736
2019-07-30T05:20:30Z,76,21,19,36,62,58,0.081769437
2019-07-29T07:00:00Z,87,23,22,42,116,58,0.084592145
2019-07-28T08:37:00Z,89,23,21,45,113,58,0.071070234
2019-07-27T09:07:00Z,85,21,21,43,139,57,0.077404222
2019-07-26T06:39:00Z,85,22,21,42,121,56,0.066933067
2019-07-24T09:24:00Z,85,21,21,43,84,56,0.064317181
2019-07-22T07:23:00Z,88,20,22,46,90,54,0.065137615
2019-07-21T09:14:30Z,86,22,22,42,99,55,0.082140166
2019-07-19T07:40:30Z,85,18,22,45,89,55,0.075224857
2019-07-18T07:43:30Z,81,19,23,39,89,55,0.072926162
2019-07-17T08:01:30Z,87,21,22,44,106,55,0.088109495
2019-07-16T07:32:30Z,78,19,19,40,90,54,0.080882353
2019-07-15T07:03:00Z,85,21,23,41,97,54,0.059171598
2019-07-14T07:54:30Z,78,19,20,39,90,54,0.094812165
2019-07-13T07:05:00Z,85,20,22,43,71,52,0.055248619
2019-07-12T08:23:30Z,86,20,23,43,102,52,0.060751399
2019-07-11T07:32:30Z,88,19,24,45,109,53,0.060220526
2019-07-10T07:31:30Z,88,21,22,45,75,54,0.068765534
